Rank,Operator,Country,SQI,Registered Roamers,Voice SSI,Data SSI,Reg SSI,SMS SSI,Steering Config
1,"Zain Bahrain-BHRMV(426,02)",Bahrain,25,-,-,-,40,-,-
2,"The Bahamas Telecommunications Company Ltd-BHSBH(364,39)",Bahamas,23.957446808510642,4,-,6.25,34.86363636363636,8.299999999999999,-
3,"Spice Nepal Private Ltd-NPLM2(429,02)",Nepal,22.124999999999996,1,-,-,35,-,-
4,"Monaco Telecom MC-MCOK8(212,02)",Monaco,19,-,-,-,20,-,-
5,"Three Ireland Services (Hutchison) Ltd-IRLDF(272,02)",Ireland,18.89719626168225,3,-,7,22.849999999999998,-,-
6,"Vodafone Czech Republic a.s.-CZECM(230,03)",Czech Republic,18.76404494382023,3,-,0,25.88235294117647,-,-
7,"Vodafone Omnitel N.V.-ITAOM(222,10)",Italy,18.36538068993672,401,9.883333333333333,7.690156599552573,26.823911111111133,8.28,-
8,"P & T Luxembourg-LUXPT(270,01)",Luxembourg,18,-,-,-,-,-,-
9,"Singapore Telecom Mobile Pte Ltd-SGPML(525,01)",Singapore,17.650000000000002,-,-,-,36.8,-,-
10,"Turkcell Iletisim Hizmetleri A.S.-TURTC(286,01)",Turkey,17.554140127388536,6,-,5.5,29.635294117647064,10,-
11,"Wind Telecomunicazioni SpA-ITAWI(222,88)",Italy,17.47770345596433,149,10,8.595890410958905,24.6,7.26,-
12,"Vodafone Panafon-GRCCT(202,05)",Greece,17.08605072463768,54,-,5.282608695652174,32.173770491803275,7.163636363636363,-
13,"VIPnet d.o.o.-HRVVI(219,10)",Croatia,16.546391752577318,2,-,5,32.266666666666666,-,-
14,"Rogers Wireless Fido-CANDW(302,720)",Canada,16.24499141385232,24,9.299999999999999,7.125,24.60724637681159,6,-
15,"PrimeTel-CYPPT(280,20)",Cyprus,15.714285714285715,3,-,10,15,10,-
16,"Cosmote Mobile Telecommunications S.A.-GRCCO(202,01)",Greece,15.625,-,-,-,40,-,-
17,"Hi3G Denmark ApS-DNKHU(238,06)",Denmark,15.600000000000001,-,-,-,-,-,-
18,"Vodafone Hungary Ltd-HUNOV(216,70)",Hungary,15.482649842271297,9,-,8.571428571428571,19.784210526315793,5,-
19,"Tango SA-LUXOC(270,77)",Luxembourg,15.4,-,-,-,40,-,-
20,"Swisscom (Switzerland) Ltd-CHEC1(228,01)",Switzerland,15.252823631624674,20,-,5.190476190476191,27.8537037037037,7.5,-
21,"IAM-MARM1(604,01)",Morocco,15.2,-,-,-,40,-,-
22,"SERCOM Honduras-HNDDC(708,001)",Honduras,15.096330275229358,17,-,4.722222222222222,22.1875,8.833333333333334,-
23,"Vodafone Libertel B.V.-NLDLT(204,04)",Netherlands,14.891216760676874,17,-,4.3,24.720000000000002,10,-
24,"Vip mobile d.o.o.-SRBNO(220,05)",Serbia,14.851063829787233,2,-,10,25,4.4,-
25,"Telenor Sverige AB-AAZTC(240,08)",Sweden,14.835164835164834,2,-,10,22.857142857142858,10,-
26,"Compania Dominicana de Telefonos C. por A.-DOMCL(370,02)",Dominican Republic,14.00830115830116,403,6.473333333333334,6.110512129380055,24.24710280373832,7.719148936170213,-
27,"Vodafone Espana S.A.-ESPAT(214,01)",Spain,13.925961325118193,1399,9.719999999999999,5.406637168141592,21.636847133757946,7.05902140672783,-
28,"Comunicacion Celular SA Comcel SA-COLCM(732,101)",Colombia,13.949728456769359,613,1.963829787234043,6.249211356466878,23.405048076923077,8.274305555555555,-
29,"Vodafone Telekomunikasyon A.S-TURTS(286,02)",Turkey,13.846031746031747,30,-,5.923076923076923,27.02727272727273,10,-
30,"Vodafone Portugal-PRTOV(268,01)",Portugal,13.70924369747899,30,-,8.636363636363637,27.061000000000003,2.6666666666666665,-
31,"Conecel S.A.-ECUPG(740,01)",Ecuador,13.62219321148825,164,4.11,5.412790697674419,25.967741935483872,8.254237288135592,-
32,"Vodafone D2 GmbH-DEUD2(262,02)",Germany,13.487529311447451,101,10,4.49375,23.464206642066422,5.5,-
33,"Hong Kong Telecommunications (HKT) Limited-HKGM3(454,00)",Hong Kong,13.52112676056338,5,-,10,14.2,-,-
34,"Latvian Mobile Telephone Co-LVALM(247,01)",Latvia,13.333333333333332,1,-,-,10,-,-
35,"Vodafone Albania-ALBOV(276,02)",Albania,13.19047619047619,2,-,10,20,-,-
36,"America Movil Peru S.A.C-PERTM(716,10)",Peru,12.983591885441529,385,3.8761904761904766,4.199481865284974,21.010927573062265,8.77258064516129,-
37,"BH Telecom Joint Stock Company Sarajevo-BIHOD(218,90)",Bosnia,13.000000000000002,1,-,-,25,-,-
38,"Claro-BRACL(724,05)",Brazil,12.73754146360444,3973,1.2620853080568721,5.520912034538586,21.279899190468917,8.107638072855465,-
39,"PTK Centertel-POL03(260,03)",Poland,12.409937888198757,9,-,6.555555555555555,10.52,10,-
40,"Telenor Norge AS-NORTM(242,01)",Norway,12.431372549019608,3,-,6,18.966666666666665,10,-
41,"Telefonica Moviles Venezuela S.A.-VENMS(734,04)",Venezuela,12.252525252525256,399,9.75,6.486666666666666,14.716783216783217,7.41159420289855,-
42,"NTT DoCoMo Inc-JPNDO(440,10)",Japan,12.34375,7,-,-,27.727272727272727,0,-
43,"Vodacom Tanzania Limited-TZAOV(640,04)",Tanzania,12.145454545454548,2,-,5,12.5,10,-
44,"Slovak Telekom a.s.-SVKET(231,02)",Slovakia,11.973333333333334,2,-,4,10,-,-
45,"Claro Chile SA-CHLSM(730,03)",Chile,11.811848286925633,2054,3.2065789473684214,7.605187319884727,15.012334315169367,7.108163265306122,-
46,"Claro CR Telecomunicaciones S.A.-CRICL(712,03)",Costa Rica,11.840825350036843,95,5,5.424603174603175,20.121951219512194,10,-
47,"Rostov Cellular Communications-RUST2(250,20)",Russia,11.833333333333336,29,-,5.84375,22.647058823529413,-,-
